sentence_id	sentence	sentence_domain	source
030a3042b1b79a90dcedfe19c306337bd0f2fa9ed995adb8ac141addbe5611e8	נֶֽפֶשׁ־בְּרָכָ֥ה תְדֻשָּׁ֑ן וּ֝מַרְוֶ֗ה גַּם־ה֥וּא יוֹרֶֽא׃		book of proverbs
03106520b65b707b19105ea383b95daa499a705b936bd98ea86d3c18857ad02d	אַל־תִּ֭ירָא מִפַּ֣חַד פִּתְאֹ֑ם וּמִשֹּׁאַ֥ת רְ֝שָׁעִ֗ים כִּ֣י תָבֹֽא׃		book of proverbs
031203a79c790528736eea42e5b5ea4f3e964710079bbbc544f05c002be56d4d	וּבָֽא־מִתְהַלֵּ֥ךְ רֵישֶׁ֑ךָ וּ֝מַחְסֹרֶ֗יךָ כְּאִ֣ישׁ מָגֵֽן׃ פ		book of proverbs
03348b5d27a6e411a3a9af0b0d0e0586d5b63675e01f1bd1c138e692b0499e3f	מניעת סחטנות בידי מפלגות קטנות; ג		???? ????? - https://fs.knesset.gov.il//16/Plenum/16_ptm_129039.doc
03688c7e2ce2e75eea42ebb93035a34054f943ce4184cd054b0d6c7592c594ff	וְעַתָּ֣ה בָ֭נִים שִׁמְעוּ־לִ֑י וְ֝אַשְׁרֵ֗י דְּרָכַ֥י יִשְׁמֹֽרוּ׃		book of proverbs
04150354a0c0400c8e8dce81d62556e771115b696a62015d916094469c193877	אֹ֣רַח לְ֭חַיִּים שׁוֹמֵ֣ר מוּסָ֑ר וְעוֹזֵ֖ב תּוֹכַ֣חַת מַתְעֶֽה׃		book of proverbs
04e5177fceb327c6178c381a10784b17761e211690be88fb65a4fade96d17204	מִדְּרָכָ֣יו יִ֭שְׂבַּע ס֣וּג לֵ֑ב וּ֝מֵעָלָ֗יו אִ֣ישׁ טֽוֹב׃		book of proverbs
054f7916ee4f1d3ceb0f6d9a893b49c584e4495e8b5e71c57566f361e0a8e055	חוֹלֵ֣ק עִם־גַּ֭נָּב שׂוֹנֵ֣א נַפְשׁ֑וֹ אָלָ֥ה יִ֝שְׁמַ֗ע וְלֹ֣א יַגִּֽיד׃		book of proverbs
0585b3335b69f3f2c12f660dbbf6b40817e3efecd976fa4b92efa764aa64d1f4	מִ֭רְמָה בְּלֶב־חֹ֣רְשֵׁי רָ֑ע וּֽלְיֹעֲצֵ֖י שָׁל֣וֹם שִׂמְחָֽה׃		book of proverbs
05a43e6ddf5fcaca2766fb1619e2ca150e3c50a30ac7b19442647a00ec094f06	אַל־תְּ֭קַנֵּא בְּאַנְשֵׁ֣י רָעָ֑ה ׳וְאַל־תִּתְאָו׳ ״וְאַל־תִּ֝תְאָ֗יו״ לִהְי֥וֹת אִתָּֽם׃		book of proverbs
05b4212c5117ec496f83ec835bda4e40289ae5e337b5d18ae6f5e5c3341c4521	עִקֶּשׁ־לֵ֭ב לֹ֣א יִמְצָא־ט֑וֹב וְנֶהְפָּ֥ךְ בִּ֝לְשׁוֹנ֗וֹ יִפּ֥וֹל בְּרָעָֽה׃		book of proverbs
05daa01acd50fd3aa8ad8cdd82a69d37e3796015f456800e08d3d3c366da265f	הֲלֹ֤א כָתַ֣בְתִּי לְ֭ךָ ׳שִׁלְשׁוֹם׳ ״שָׁלִישִׁ֑ים״ בְּמ֖וֹעֵצֹ֣ת וָדָֽעַת׃		book of proverbs
0600df95918d0f915f72617fabc9a4b3b9476120e569c52d27959699d7af0546	אַשְׁרֵ֣י אָ֭דָם מָצָ֣א חָכְמָ֑ה וְ֝אָדָ֗ם יָפִ֥יק תְּבוּנָֽה׃		book of proverbs
0611a057e5a70f9753dc871467435764b8c6c00498b9b9d45f910ddd1195b71c	הַחֲזֵ֣ק בַּמּוּסָ֣ר אַל־תֶּ֑רֶף נִ֝צְּרֶ֗הָ כִּי־הִ֥יא חַיֶּֽיךָ׃		book of proverbs
062ffe3778019c60e7037a2ffbe4d6f93c1a8602fe3c1acb65f93aac5b423d3d	וְאֹ֣רַח צַ֭דִּיקִים כְּא֣וֹר נֹ֑גַהּ הוֹלֵ֥ךְ וָ֝א֗וֹר עַד־נְכ֥וֹן הַיּֽוֹם׃		book of proverbs
0682037f71af10fee880769ab59ab0c84c1199053a8a76d1e34240e2f9646f27	עֵ֣קֶב עֲ֭נָוָה יִרְאַ֣ת יְהוָ֑ה עֹ֖שֶׁר וְכָב֣וֹד וְחַיִּֽים׃		book of proverbs
068798e2696822c33a14220c945066e3198036cc77187fbb289eeb29b7a78d56	בְּאֵ֣ין אֲ֭לָפִים אֵב֣וּס בָּ֑ר וְרָב־תְּ֝בוּא֗וֹת בְּכֹ֣חַ שֽׁוֹר׃		book of proverbs
06a6cd945d48293d2deef134cc4f4b86d70b4ae50f9337b4991668f3381e4812	כָּל־עָ֭רוּם יַעֲשֶׂ֣ה בְדָ֑עַת וּ֝כְסִ֗יל יִפְרֹ֥שׂ אִוֶּֽלֶת׃		book of proverbs
06bba36698d093443a709939d0134987de3d517d279adaba30952f6e6b6636e1	הוֹלֵ֣ךְ בְּ֭יָשְׁרוֹ יְרֵ֣א יְהוָ֑ה וּנְל֖וֹז דְּרָכָ֣יו בּוֹזֵֽהוּ׃		book of proverbs
072201d7677598a271d2dc35d9480863acc2dfc21ca8cfdfb6d2d202bb015f4d	בְּטֶ֣רֶם הָרִ֣ים הָטְבָּ֑עוּ לִפְנֵ֖י גְבָע֣וֹת חוֹלָֽלְתִּי׃		book of proverbs
07fc28f89b7b77b11e649a7623f63e9d72f261fa4e9b51716b4462efb85c4268	מַרְבֶּ֣ה ה֭וֹנוֹ בְּנֶ֣שֶׁךְ ׳וּבְתַרְבִּית׳ ״וְתַרְבִּ֑ית״ לְחוֹנֵ֖ן דַּלִּ֣ים יִקְבְּצֶֽנּוּ׃		book of proverbs
08605575bc5fbd9e282b2611a58c0d66a4259ab3c3fdc1b4e3fb4d6bb9c0c9b3	בְּאֵ֣ין חָ֭זוֹן יִפָּ֣רַֽע עָ֑ם וְשֹׁמֵ֖ר תּוֹרָ֣ה אַשְׁרֵֽהוּ׃		book of proverbs
088f9b5e8bd3e96c9fe45478d8cef9e016018b3fa85e1f3248acea398691f51f	אַל־יֵ֣שְׂטְ אֶל־דְּרָכֶ֣יהָ לִבֶּ֑ךָ אַל־תֵּ֝תַע בִּנְתִיבוֹתֶֽיהָ׃		book of proverbs
08b5ebfe40d10a32e57b236e9b803da3057020f5285308a0dd5605c644b5074f	הִכּ֥וּנִי בַל־חָלִיתִי֮ הֲלָמ֗וּנִי בַּל־יָ֫דָ֥עְתִּי מָתַ֥י אָקִ֑יץ א֝וֹסִ֗יף אֲבַקְשֶׁ֥נּוּ עֽוֹד׃		book of proverbs
08b68b562fbb345c693bd53fd063f907e6909942c25ec607895f02789ea23ce2	דיווח ובניית תוכנית אישית למעורבים באירוע; ב		???? ????? - https://fs.knesset.gov.il//18/Plenum/18_ptm_175818.doc
090544bcd15ef10a789b833ac067a214b7d8b9d43bf50081830f84f8548808a8	נוֹדָ֣ע בַּשְּׁעָרִ֣ים בַּעְלָ֑הּ בְּ֝שִׁבְתּ֗וֹ עִם־זִקְנֵי־אָֽרֶץ׃		book of proverbs
092106ed0de81379af3cebc0c6f14e8ffd5c0c54c93e38cc9c8c9d0c296ca26e	נֶ֣זֶם זָ֭הָב בְּאַ֣ף חֲזִ֑יר אִשָּׁ֥ה יָ֝פָ֗ה וְסָ֣רַת טָֽעַם׃		book of proverbs
09868b9fadc1704e90f55315521a8e96b3eaa37da11cdf4b8bb5d737c15d7f2f	אני מאזין למה שמתרחש בבית הזה כבר יותר מ=עשרים וארבע שעות		???? ????? - https://fs.knesset.gov.il//16/Plenum/16_ptm_129219.doc
0992513099aa91b67b8af249ffc6815525cc04a2071cd6fe66d2c5ed4c2d73ec	אברהים צרצור, טלב אלסאנע, עבאס זכור		???? ????? - https://fs.knesset.gov.il//17/Plenum/17_ptm_129555.doc
09989236c777d198e30d82c6b886422d2b9370c929bf5ad2807f162514941977	לֵ֣ב צַ֭דִּיק יֶהְגֶּ֣ה לַעֲנ֑וֹת וּפִ֥י רְ֝שָׁעִ֗ים יַבִּ֥יעַ רָעֽוֹת׃		book of proverbs
09a6ff2e5c47e7e4f9cd92f41cb0561cee8c36871f1c0023caa385164db2cbf5	עֲ֭שֹׂה צְדָקָ֣ה וּמִשְׁפָּ֑ט נִבְחָ֖ר לַיהוָ֣ה מִזָּֽבַח׃		book of proverbs
09d9197b11ebf456673e43013056e24a90f202ae1cb02850f8280845c424d860	אַנְשֵׁי־רָ֭ע לֹא־יָבִ֣ינוּ מִשְׁפָּ֑ט וּמְבַקְשֵׁ֥י יְ֝הוָ֗ה יָבִ֥ינוּ כֹֽל׃		book of proverbs
0a2ee96dea811d97f8c03481f56d29f21d0fd7b5c70e0445af79c0eefd8fc6df	כֹּֽרֶה־שַּׁ֭חַת בָּ֣הּ יִפֹּ֑ל וְגֹ֥לֵ֥ל אֶ֝בֶן אֵלָ֥יו תָּשֽׁוּב׃		book of proverbs
0a4ab396ee11752bb795ec47916f391cd08743e0071068d9c7fa9e34b484ff7f	נֶֽגַע־וְקָל֥וֹן יִמְצָ֑א וְ֝חֶרְפָּת֗וֹ לֹ֣א תִמָּחֶֽה׃		book of proverbs
0a671b11823eff72fffe3c594b1e15aa67a2c72d267f6d91d84b02550f52a313	רָאמ֣וֹת לֶֽאֱוִ֣יל חָכְמ֑וֹת בַּ֝שַּׁ֗עַר לֹ֣א יִפְתַּח־פִּֽיהוּ׃		book of proverbs
0a70e3abd64bf3af284c1d3b8badb4717bf507d74e0fbbba76e90ef6b8c2c6dd	לֹֽא־יַחְפֹּ֣ץ כְּ֭סִיל בִּתְבוּנָ֑ה כִּ֝֗י אִֽם־בְּהִתְגַּלּ֥וֹת לִבּֽוֹ׃		book of proverbs
0b3611ad29442f0b4e52c96a3ddb3bef8badbf33b33bd7623a4f9dd3a85c6c5f	הֲפַכְפַּ֬ךְ דֶּ֣רֶךְ אִ֣ישׁ וָזָ֑ר וְ֝זַ֗ךְ יָשָׁ֥ר פָּעֳלֽוֹ׃		book of proverbs
0b4f21dd9606989e572615738f0784b66460ccb3b85129b7250d67e06f3211bb	בְּכָל־עֶ֭צֶב יִהְיֶ֣ה מוֹתָ֑ר וּדְבַר־שְׂ֝פָתַ֗יִם אַךְ־לְמַחְסֽוֹר׃		book of proverbs
0b9699494993200b806df1ec970a7b5f51bec1aaab21d5dbdd3292d90577028c	בעוד שבדרום-קוריאה זה שלושים אחוזיםארבעים אחוזים		???? ????? - https://fs.knesset.gov.il//18/Plenum/18_ptm_202977.doc
0bc2856de5ba13b7274935963566d67518666c2976c6ac2eb84f6ab6f660eb2f	ט֣וֹב שְׁפַל־ר֭וּחַ ׳אֶת־עֲנִיִּים׳ ״אֶת־עֲנָוִ֑ים״ מֵֽחַלֵּ֥ק שָׁ֝לָ֗ל אֶת־גֵּאִֽים׃		book of proverbs
0ce2238072527c3a1ff1775b7e0c56663940edd82e1149bf091b7a14a2869dc0	כאבן שאין לה הופכין	language_fundamentals	התלמוד הבבלי
0d5d8b23aa72ac7d93df70a84301e2141099d92589a39eed3549adad59bba126	וְֽאָמַרְתָּ֗ אֵ֭יךְ שָׂנֵ֣אתִי מוּסָ֑ר וְ֝תוֹכַ֗חַת נָאַ֥ץ לִבִּֽי׃		book of proverbs
0d5e0b7f80d579d77270cf378a6f5c5f4d126a2dac83e7553b882ae34519b18d	יְהִֽי־מְקוֹרְךָ֥ בָר֑וּךְ וּ֝שְׂמַ֗ח מֵאֵ֥שֶׁת נְעוּרֶֽךָ׃		book of proverbs
0d6f27a2226a2661367512b53f47761d19b3a4ca850736ae4d2ec38fcec5b3f1	תַּאֲוַ֣ת אָדָ֣ם חַסְדּ֑וֹ וְטֽוֹב־רָ֝שׁ מֵאִ֥ישׁ כָּזָֽב׃		book of proverbs
0d73b0c7059b85d6ef392133a340d26277bece00af08bec0f4d6d8d71c21689a	לֵ֣ךְ מִ֭נֶּגֶד לְאִ֣ישׁ כְּסִ֑יל וּבַל־יָ֝דַ֗עְתָּ שִׂפְתֵי־דָֽעַת׃		book of proverbs
0da5cdcfee037109361b56fa668a5da133f765f71cfb977fb65e525e2d0f83d0	פֶּ֤לֶס׀ וּמֹאזְנֵ֣י מִ֭שְׁפָּט לַֽיהוָ֑ה מַ֝עֲשֵׂ֗הוּ כָּל־אַבְנֵי־כִֽיס׃		book of proverbs
0dd4fd173d0ce6264aa874d7cdbd2a779610ca6187a234d37cfbd630d82b1ba1	מ֘וֹכִ֤יחַ אָדָ֣ם אַ֭חֲרַי חֵ֣ן יִמְצָ֑א מִֽמַּחֲלִ֥יק לָשֽׁוֹן׃		book of proverbs
0ec7716283b80a8fbd89f835438ef550b49bc43d80ada34346577ec989c96057	"""רצ""ב בזה הריאיון שפורסם ב""קו עיתונות דתית"""		???? ????? - https://fs.knesset.gov.il//16/Plenum/16_ptm_129148.doc
0eceb321ba7ecf77c5117bb43e174b29b3e3225a115c859fba9a3f95fa36ee0d	קְחֽוּ־מוּסָרִ֥י וְאַל־כָּ֑סֶף וְ֝דַ֗עַת מֵחָר֥וּץ נִבְחָֽר׃		book of proverbs
0f1b6ee44fd5320805170ba9bf6565e67a1134b1bf012d1e0028a15e54c1ddb0	שִׁמְע֖וּ מוּסָ֥ר וַחֲכָ֗מוּ וְאַל־תִּפְרָֽעוּ׃		book of proverbs
0f2b7a289b24489686e559ba22640556c09588317515a9c319ac7401631a4c9b	וַיֹּרֵ֗נִי וַיֹּ֥אמֶר לִ֗י יִֽתְמָךְ־דְּבָרַ֥י לִבֶּ֑ךָ שְׁמֹ֖ר מִצְוֺתַ֣י וֶֽחְיֵֽה׃		book of proverbs
0f4826d311c7e2f6f8e05bcce0452d3f232919fd020cb5437d7be765b7441763	לֵ֣ב נָ֭בוֹן יִקְנֶה־דָּ֑עַת וְאֹ֥זֶן חֲ֝כָמִ֗ים תְּבַקֶּשׁ־דָּֽעַת׃		book of proverbs
0f5db3d5ff80eb1994892fce23a3d085ce9777295608afc9cf2fcf493792cc29	יוֹדֵ֣עַ צַ֭דִּיק נֶ֣פֶשׁ בְּהֶמְתּ֑וֹ וְֽרַחֲמֵ֥י רְ֝שָׁעִ֗ים אַכְזָרִֽי׃		book of proverbs
0f871d681aa90f27ef6b20be6d471fb46e8b33f88db91b2e5bfb0e72f934d619	לַֽמְאַחֲרִ֥ים עַל־הַיָּ֑יִן לַ֝בָּאִ֗ים לַחְקֹ֥ר מִמְסָֽךְ׃		book of proverbs
0fa1fa0a723a4a9b642fdc4b954f4b9f7641864c3c0b299800b687b29ca7afd4	הֵעֵ֬ז אִ֣ישׁ רָשָׁ֣ע בְּפָנָ֑יו וְ֝יָשָׁ֗ר ה֤וּא׀ ׳יָכִין׳ ״יָבִ֬ין״ ׳דְּרָכָיו׳ ״דַּרְכּֽוֹ׃״		book of proverbs
0fac1a02634340c0e0ef874cd94fb74ecf7cf8bd686713d2af3a60d2b87f23d5	מֵ֭רַע מַקְשִׁ֣יב עַל־שְׂפַת־אָ֑וֶן שֶׁ֥קֶר מֵ֝זִין עַל־לְשׁ֥וֹן הַוֺּֽת׃		book of proverbs
0fdc5b55295a42d7c2d93dd368608c8085a6cd965589905954b92ad2998d8648	׳בִּשְׂפָתוֹ׳ ״בִּ֭שְׂפָתָיו״ יִנָּכֵ֣ר שׂוֹנֵ֑א וּ֝בְקִרְבּ֗וֹ יָשִׁ֥ית מִרְמָֽה׃		book of proverbs
0feeadf7b977b07e37efa14ff6d85fcae8e2de9267a61a773ceec9b1465b09e8	עָ֭שִׁיר בְּרָשִׁ֣ים יִמְשׁ֑וֹל וְעֶ֥בֶד ל֝וֶֹ֗ה לְאִ֣ישׁ מַלְוֶֽה׃		book of proverbs
1095af441848d4860c20448e0eb1b97a3869103ba26f9131ae1091a2d541f41a	אָדָ֣ם עָ֭רוּם כֹּ֣סֶה דָּ֑עַת וְלֵ֥ב כְּ֝סִילִ֗ים יִקְרָ֥א אִוֶּֽלֶת׃		book of proverbs
10b3268e6b4d7dd430e1b466d5f5e7ddb6bf14115ece471a2291ab683a675c03	תּוֹעֲבַ֣ת יְ֭הוָה אֶ֣בֶן וָאָ֑בֶן וּמֹאזְנֵ֖י מִרְמָ֣ה לֹא־טֽוֹב׃		book of proverbs
10e62625ed0dcd97b7f4d3729643706eeaf9775160bb677434a95fe1838d748e	יְהַלֶּלְךָ֣ זָ֣ר וְלֹא־פִ֑יךָ נָ֝כְרִ֗י וְאַל־שְׂפָתֶֽיךָ׃		book of proverbs
11264dcb970d04eb4750a9f01b5b74d176bbb413944c62ce4e75d765e6474c06	לֹא־י֭וֹעִילוּ אוֹצְר֣וֹת רֶ֑שַׁע וּ֝צְדָקָ֗ה תַּצִּ֥יל מִמָּֽוֶת׃		book of proverbs
11581cba7f91d230f7b44c13777691823c29d13e7d5ace5347718edc1e866d8a	כְּבָשִׂ֥ים לִלְבוּשֶׁ֑ךָ וּמְחִ֥יר שָׂ֝דֶ֗ה עַתּוּדִֽים׃		book of proverbs
11793ff629a2b127dd83dcbbdd9fc3201da27eb5738e72a0b0a4cb775d332462	רָ֗אשׁ עֹשֶׂ֥ה כַף־רְמִיָּ֑ה וְיַ֖ד חָרוּצִ֣ים תַּעֲשִֽׁיר׃		book of proverbs
11c54a565794b1ca739876d6d50162a1fe395946c1c5b4ee257a83f4b812c803	קְנֵ֣ה חָ֭כְמָה קְנֵ֣ה בִינָ֑ה אַל־תִּשְׁכַּ֥ח וְאַל־תֵּ֝֗ט מֵֽאִמְרֵי־פִֽי׃		book of proverbs
1221f8504416ff212587bc1fd2dc18d12cce8492a2ac71955957c96f0c008fc2	אֱוִ֗יל בַּ֭יּוֹם יִוָּדַ֣ע כַּעְס֑וֹ וְכֹסֶ֖ה קָל֣וֹן עָרֽוּם׃		book of proverbs
122f4cd5b6a89dc8d4463d85aec555b17215fed61c493e6cab6f188f52757e45	פֶּֽן־יְחַסֶּדְךָ֥ שֹׁמֵ֑עַ וְ֝דִבָּתְךָ֗ לֹ֣א תָשֽׁוּב׃		book of proverbs
126309e14d080a072535cbc63ae6f29a4b9e1724af7989a47ba2b33b7e59a107	מִפְּרִ֣י פִי־אִ֭ישׁ תִּשְׂבַּ֣ע בִּטְנ֑וֹ תְּבוּאַ֖ת שְׂפָתָ֣יו יִשְׂבָּֽע׃		book of proverbs
127114770a6a95c3f5db423658abdac404ab33ae374af659520df7c55e4de663	בְּ֭נִי תּוֹרָתִ֣י אַל־תִּשְׁכָּ֑ח וּ֝מִצְוֺתַ֗י יִצֹּ֥ר לִבֶּֽךָ׃		book of proverbs
12b672dae9a9d0062eac9deb8b9a775792c196d9f50ecb087982f49d23fc8108	צְֽרוֹר־הַ֭כֶּסֶף לָקַ֣ח בְּיָד֑וֹ לְי֥וֹם הַ֝כֵּ֗סֶא יָבֹ֥א בֵיתֽוֹ׃		book of proverbs
12e6ac568a8f0332f2730f5b72c727918cf695993bec8af6d462901a19e24af9	קוֹלִי אֶל־אדני אֶקְרָא וַיַּעֲנֵנִי מֵהַר קׇדְשׁוֹ סֶלָה		םפר תהלים
130fbb11920d031f421cae7c209f6d7f521f40810cf3254b26910ffe291ff448	עָשִׁ֣יר וָרָ֣שׁ נִפְגָּ֑שׁוּ עֹשֵׂ֖ה כֻלָּ֣ם יְהוָֽה׃		book of proverbs
13286339762f1159562b83d915bb85bcf59ecc82eb58d4698204c1698020a9b5	כֶּ֣סֶף סִ֭יגִים מְצֻפֶּ֣ה עַל־חָ֑רֶשׂ שְׂפָתַ֖יִם דֹּלְקִ֣ים וְלֶב־רָֽע׃		book of proverbs
1335c8e9209f80b95d157d1a90c9ffa946d7092c4f5ffe238b6af8681c6ca3af	בִּקֶּשׁ־לֵ֣ץ חָכְמָ֣ה וָאָ֑יִן וְדַ֖עַת לְנָב֣וֹן נָקָֽל׃		book of proverbs
13b11e0f9f840546d2807b0568d75499f4db85600c55295064d8c54bed9dc079	בִּרְב֣וֹת צַ֭דִּיקִים יִשְׂמַ֣ח הָעָ֑ם וּבִמְשֹׁ֥ל רָ֝שָׁ֗ע יֵאָ֥נַֽח עָֽם׃		book of proverbs
13f7fded8d6d15eb49240e5e3ecfa2f03a5cfcc6b6a59dc00ef968198fbc2204	תּוֹעֲבַ֣ת יְ֭הוָה עִקְּשֵׁי־לֵ֑ב וּ֝רְצוֹנ֗וֹ תְּמִ֣ימֵי דָֽרֶךְ׃		book of proverbs
141f30b748378d271a9eb87aa219ce59f11441f53fcecd9cd48d58825f6b091d	כֹּֽבֶד־אֶ֭בֶן וְנֵ֣טֶל הַח֑וֹל וְכַ֥עַס אֱ֝וִ֗יל כָּבֵ֥ד מִשְּׁנֵיהֶֽם׃		book of proverbs
1460381c8838e3afa173bffd9d941f1f143e851b266c4886913885eeb948718a	וְֽ֭יָשְׁבָה לְפֶ֣תַח בֵּיתָ֑הּ עַל־כִּ֝סֵּ֗א מְרֹ֣מֵי קָֽרֶת׃		book of proverbs
1502baec0f0a7585168e80efe4d4f2b3d26506a211a796107a6acde11776e0ec	הֵ֣ן צַ֭דִּיק בָּאָ֣רֶץ יְשֻׁלָּ֑ם אַ֝֗ף כִּֽי־רָשָׁ֥ע וְחוֹטֵֽא׃		book of proverbs
1540b011052e4611373561c5797036d76fd0435dc02070c830b57f1b06bae41e	אני רוצה להזמין פיצה אחת לרחוב הפלמח בלי זייתים		ציטוט עצמי
15faade304adfd2d60dbf8638309035ded1e05de7d5c2400ce23ae12a4c1b17c	גּֽוֹלֶה־סּ֭וֹד הוֹלֵ֣ךְ רָכִ֑יל וּלְפֹתֶ֥ה שְׂ֝פָתָ֗יו לֹ֣א תִתְעָרָֽב׃		book of proverbs
169ab74f895212121af9627796ce31f365572191b77660392208cfe44b1a35f1	נחמן שי, עפו אגבאריה, יוחנן פלסנר		???? ????? - https://fs.knesset.gov.il//18/Plenum/18_ptm_175868.doc
169d1feca0147a1d1275c348ca7824e1866cb1e4f49361c9c4d7011b260e4b07	אִ֣ישׁ תַּ֭הְפֻּכוֹת יְשַׁלַּ֣ח מָד֑וֹן וְ֝נִרְגָּ֗ן מַפְרִ֥יד אַלּֽוּף׃		book of proverbs
174cec0764187ed46cb81e319fad0f465d33cdae95a26ae2faab9722b7b93bb6	וְלֹֽא־לָמַ֥דְתִּי חָכְמָ֑ה וְדַ֖עַת קְדֹשִׁ֣ים אֵדָֽע׃		book of proverbs
17f36427c46f448e6c8967a09f7769a5d7114899f27fa61b582e5648880537e6	תָּכִ֣ין בַּקַּ֣יִץ לַחְמָ֑הּ אָגְרָ֥ה בַ֝קָּצִ֗יר מַאֲכָלָֽהּ׃		book of proverbs
17fc933904c3fa6d04365d6143d15b8568dfddbdededfb3136e9003b6f6bc9f8	בְּאֹ֣רֶךְ אַ֭פַּיִם יְפֻתֶּ֣ה קָצִ֑ין וְלָשׁ֥וֹן רַ֝כָּ֗ה תִּשְׁבָּר־גָּֽרֶם׃		book of proverbs
18156ab12c882a4ece74ce12bf9135051419a6c4269856376d05fbee838123e2	בערוץעשרה תוכנית שמשודרת מאוד מאוחר בלילה		???? ????? - https://fs.knesset.gov.il//18/Plenum/18_ptm_187103.doc
18a39e4eff17f40a136a19379e7c4a95ba21d03da25b38ef986b3ffbf0a77923	אֹ֣זֶן שֹׁ֭מַעַת וְעַ֣יִן רֹאָ֑ה יְ֝הוָ֗ה עָשָׂ֥ה גַם־שְׁנֵיהֶֽם׃		book of proverbs
19260a2c4a44f414653f5a5ba1378a94e6d50d5f2deb90b741fafdd222eba866	בַּ֣יִת וָ֭הוֹן נַחֲלַ֣ת אָב֑וֹת וּ֝מֵיְהוָ֗ה אִשָּׁ֥ה מַשְׂכָּֽלֶת׃		book of proverbs
1933d18214475235904306cd6098b6594eddfacc5785dab76323151a0ba6acb7	"""שהסמנכ""ל לגמלאות בביטוח הלאומי כותב ב=עשרים ושניים במאי לפרופסור שטסמן"""		???? ????? - https://fs.knesset.gov.il//16/Plenum/16_ptm_129219.doc
19e7d089d2646e8f8ef3b043040f10edd36888c0c9d5dd1782d93abb54764109	מְֽשַׁדֶּד־אָ֭ב יַבְרִ֣יחַ אֵ֑ם בֵּ֝֗ן מֵבִ֥ישׁ וּמַחְפִּֽיר׃		book of proverbs
19f26063dd1c57e2f02890ff3b57cfc379a7935e3adb86c96105614fa580954d	רַבּ֣וֹת בָּ֭נוֹת עָ֣שׂוּ חָ֑יִל וְ֝אַ֗תְּ עָלִ֥ית עַל־כֻּלָּֽנָה׃		book of proverbs
